fecha_gas,Reparto_N1
2022-04-20,10.0
2022-04-21,11.0
2022-04-22,10.0
2022-04-23,16.0
2022-04-24,14.0
2022-04-25,28.0
2022-04-26,27.0
2022-04-27,22.0
2022-04-28,47.0
2022-04-29,41.0
2022-04-30,35.0
2022-05-01,46.0
2022-05-02,58.0
2022-05-03,66.0
2022-05-04,63.0
2022-05-05,56.0
2022-05-06,63.0
2022-05-07,47.0
2022-05-08,44.0
2022-05-09,47.0
2022-05-10,44.0
2022-05-11,44.0
2022-05-12,54.0
2022-05-13,68.0
2022-05-14,89.0
2022-05-15,90.0
2022-05-16,95.0
2022-05-17,102.0
2022-05-18,106.0
2022-05-19,116.0
2022-05-20,114.0
2022-05-21,104.0
2022-05-22,101.0
2022-05-23,109.0
2022-05-24,124.0
2022-05-25,135.0
2022-05-26,141.0
2022-05-27,136.0
2022-05-28,108.0
2022-05-29,102.0
2022-05-30,116.0
2022-05-31,121.0
2022-06-01,119.0
2022-06-02,146.0
2022-06-03,152.0
2022-06-04,139.0
2022-06-05,139.0
2022-06-06,152.0
2022-06-07,165.0
2022-06-08,177.0
2022-06-09,174.0
2022-06-10,169.0
2022-06-11,166.0
2022-06-12,160.0
2022-06-13,171.0
2022-06-14,175.0
2022-06-15,179.0
2022-06-16,178.0
2022-06-17,179.0
2022-06-18,163.0
2022-06-19,162.0
2022-06-20,192.0
2022-06-21,212.0
2022-06-22,221.0
2022-06-23,216.0
2022-06-24,195.0
2022-06-25,186.0
2022-06-26,185.0
2022-06-27,204.0
2022-06-28,219.0
2022-06-29,218.0
2022-06-30,217.0
2022-07-01,207.0
2022-07-02,193.0
2022-07-03,186.0
2022-07-04,190.0
2022-07-05,203.0
2022-07-06,222.0
2022-07-07,228.0
2022-07-08,241.0
2022-07-09,215.0
2022-07-10,200.0
2022-07-11,225.0
2022-07-12,242.0
2022-07-13,248.0
2022-07-14,220.0
2022-07-15,225.0
2022-07-16,208.0
2022-07-17,209.0
2022-07-18,242.0
2022-07-19,254.0
2022-07-20,269.0
2022-07-21,273.0
2022-07-22,288.0
2022-07-23,249.0
2022-07-24,223.0
2022-07-25,247.0
2022-07-26,266.0
2022-07-27,273.0
2022-07-28,273.0
2022-07-29,295.0
2022-07-30,277.0
2022-07-31,261.0
2022-08-01,268.0
2022-08-02,272.0
2022-08-03,272.0
2022-08-04,286.0
2022-08-05,285.0
2022-08-06,260.0
2022-08-07,243.0
2022-08-08,273.0
2022-08-09,273.0
2022-08-10,278.0
2022-08-11,279.0
2022-08-12,283.0
2022-08-13,260.0
2022-08-14,262.0
2022-08-15,274.0
2022-08-16,300.0
2022-08-17,323.0
2022-08-18,335.0
2022-08-19,359.0
2022-08-20,322.0
2022-08-21,317.0
2022-08-22,351.0
2022-08-23,354.0
2022-08-24,368.0
2022-08-25,369.0
2022-08-26,377.0
2022-08-27,379.0
2022-08-28,370.0
2022-08-29,415.0
2022-08-30,438.0
2022-08-31,439.0
2022-09-01,444.0
2022-09-02,453.0
2022-09-03,447.0
2022-09-04,445.0
2022-09-05,476.0
2022-09-06,505.0
2022-09-07,518.0
2022-09-08,513.0
2022-09-09,518.0
2022-09-10,480.0
2022-09-11,466.0
2022-09-12,523.0
2022-09-13,545.0
2022-09-14,581.0
2022-09-15,596.0
2022-09-16,592.0
2022-09-17,574.0
2022-09-18,573.0
2022-09-19,619.0
2022-09-20,640.0
2022-09-21,682.0
2022-09-22,681.0
2022-09-23,693.0
2022-09-24,650.0
2022-09-25,675.0
2022-09-26,751.0
2022-09-27,767.0
2022-09-28,803.0
2022-09-29,864.0
2022-09-30,914.0
2022-10-01,885.0
2022-10-02,838.0
2022-10-03,872.0
2022-10-04,858.0
2022-10-05,832.0
2022-10-06,883.0
2022-10-07,824.0
2022-10-08,843.0
2022-10-09,777.0
2022-10-10,928.0
2022-10-11,901.0
2022-10-12,877.0
2022-10-13,897.0
2022-10-14,891.0
2022-10-15,847.0
2022-10-16,837.0
2022-10-17,809.0
2022-10-18,940.0
2022-10-19,933.0
2022-10-20,977.0
2022-10-21,1014.0
2022-10-22,933.0
2022-10-23,955.0
2022-10-24,1012.0
2022-10-25,1016.0
2022-10-26,1009.0
2022-10-27,994.0
2022-10-28,994.0
2022-10-29,1076.0
2022-10-30,946.0
2022-10-31,1049.0
2022-11-01,1289.0
2022-11-02,1388.0
2022-11-03,1640.0
2022-11-04,1898.0
2022-11-05,2046.0
2022-11-06,2090.0
2022-11-07,2282.0
2022-11-08,2326.0
2022-11-09,2294.0
2022-11-10,2446.0
2022-11-11,2577.0
2022-11-12,2271.0
2022-11-13,2243.0
2022-11-14,2564.0
2022-11-15,2612.0
2022-11-16,2818.0
2022-11-17,2547.0
2022-11-18,3221.0
2022-11-19,3778.0
2022-11-20,3578.0
2022-11-21,4270.0
2022-11-22,4905.0
2022-11-23,3723.0
2022-11-24,3796.0
2022-11-25,4124.0
2022-11-26,4561.0
2022-11-27,4778.0
2022-11-28,5315.0
2022-11-29,5563.0
2022-11-30,6102.0
2022-12-01,6736.0
2022-12-02,7607.0
2022-12-03,7376.0
2022-12-04,7404.0
2022-12-05,7354.0
2022-12-06,6303.0
2022-12-07,6189.0
2022-12-08,6069.0
2022-12-09,5672.0
2022-12-10,6178.0
2022-12-11,7871.0
2022-12-12,7874.0
2022-12-13,6687.0
2022-12-14,5821.0
2022-12-15,5999.0
2022-12-16,6385.0
2022-12-17,6416.0
2022-12-18,6640.0
2022-12-19,6964.0
2022-12-20,6775.0
2022-12-21,6411.0
2022-12-22,5901.0
2022-12-23,5234.0
2022-12-24,5132.0
2022-12-25,9260.0
2022-12-26,5130.0
2022-12-27,5676.0
2022-12-28,6038.0
2022-12-29,6322.0
2022-12-30,5755.0
2022-12-31,5654.0
2023-01-01,4475.0
2023-01-02,5487.0
2023-01-03,5549.0
2023-01-04,7195.0
2023-01-05,8022.0
2023-01-06,8303.0
2023-01-07,8616.0
2023-01-08,7884.0
2023-01-09,7641.0
2023-01-10,8490.0
2023-01-11,9025.0
2023-01-12,8877.0
2023-01-13,9091.0
2023-01-14,8829.0
2023-01-15,8529.0
2023-01-16,9540.0
2023-01-17,9329.0
2023-01-18,11116.0
2023-01-19,11458.0
2023-01-20,10449.0
2023-01-21,11331.0
2023-01-22,12388.0
2023-01-23,13470.0
2023-01-24,14256.0
2023-01-25,12183.0
2023-01-26,12858.0
2023-01-27,12392.0
2023-01-28,12639.0
2023-01-29,12408.0
2023-01-30,12778.0
2023-01-31,12200.0
2023-02-01,12280.0
2023-02-02,11653.0
2023-02-03,11041.0
2023-02-04,10071.0
2023-02-05,9695.0
2023-02-06,12174.0
2023-02-07,12698.0
2023-02-08,12264.0
2023-02-09,11990.0
2023-02-10,11746.0
2023-02-11,11299.0
2023-02-12,11039.0
2023-02-13,11254.0
2023-02-14,10828.0
2023-02-15,9977.0
2023-02-16,9891.0
2023-02-17,10652.0
2023-02-18,9326.0
2023-02-19,8283.0
2023-02-20,8426.0
2023-02-21,9598.0
2023-02-22,9224.0
2023-02-23,11971.0
2023-02-24,12445.0
2023-02-25,13661.0
2023-02-26,14801.0
2023-02-27,19741.0
2023-02-28,18772.0
2023-03-01,15560.0
2023-03-02,15929.0
2023-03-03,14045.0
2023-03-04,12583.0
2023-03-05,12090.0
2023-03-06,11918.0
2023-03-07,10945.0
2023-03-08,8253.0
2023-03-09,7045.0
2023-03-10,6026.0
2023-03-11,4732.0
2023-03-12,4371.0
2023-03-13,4755.0
2023-03-14,5193.0
2023-03-15,5393.0
2023-03-16,5842.0
2023-03-17,6021.0
2023-03-18,5614.0
2023-03-19,5402.0
2023-03-20,5714.0
2023-03-21,5669.0
2023-03-22,5505.0
2023-03-23,5366.0
