COD_POST,ESTACION_CERCANA,PROVINCIA,GOOGLE_MAPS
1001,BILBAO AEROPUERTO,ARABA/ALAVA,"42.85,-2.6667"
1002,BILBAO AEROPUERTO,ARABA/ALAVA,"42.85,-2.6667"
1003,BILBAO AEROPUERTO,ARABA/ALAVA,"42.85,-2.6667"
1005,BILBAO AEROPUERTO,ARABA/ALAVA,"42.8435,-2.6748"
1007,BILBAO AEROPUERTO,ARABA/ALAVA,"42.83765,-2.6909"
1008,BILBAO AEROPUERTO,ARABA/ALAVA,"42.85,-2.6667"
1010,BILBAO AEROPUERTO,ARABA/ALAVA,"42.8528,-2.679933333"
1015,BILBAO AEROPUERTO,ARABA/ALAVA,"42.85,-2.6667"
1400,BILBAO AEROPUERTO,BIZKAIA,"43.15,-2.9667"
1408,BILBAO AEROPUERTO,ARABA/ALAVA,"43.0083,-2.6333"
1470,BILBAO AEROPUERTO,BIZKAIA,"43.05,-3.0"
2001,"ALBACETE,OBS.",ALBACETE,"38.997,-1.8545"
2002,"ALBACETE,OBS.",ALBACETE,"38.997,-1.8545"
2003,"ALBACETE,OBS.",ALBACETE,"38.9833,-1.85"
2004,"ALBACETE,OBS.",ALBACETE,"38.9833,-1.85"
2005,"ALBACETE,OBS.",ALBACETE,"38.9833,-1.85"
2006,"ALBACETE,OBS.",ALBACETE,"38.997,-1.8545"
2110,"ALBACETE,OBS.",ALBACETE,"39.1167,-1.96665"
2600,CUENCA,ALBACETE,"39.2667,-2.6"
2630,"ALBACETE,OBS.",ALBACETE,"39.2167,-2.15"
2640,"ALBACETE,OBS.",ALBACETE,"38.8667,-1.0833"
2660,ALBACETE/LOS LLANOS,ALICANTE,"38.7,-0.9833"
3001,ALICANTE,ALICANTE,"38.3427,-0.4787"
3002,ALICANTE,ALICANTE,"38.3466,-0.483"
3003,ALICANTE,ALICANTE,"38.3428,-0.4907"
3004,ALICANTE,ALICANTE,"38.3466,-0.4819"
3005,ALICANTE,ALICANTE,"38.3452,-0.4815"
3006,ALICANTE,ALICANTE,"38.3452,-0.4815"
3007,ALICANTE,ALICANTE,"38.3452,-0.4815"
3008,ALICANTE,ALICANTE,"38.3376,-0.4983"
3009,ALICANTE,ALICANTE,"38.3452,-0.4815"
3010,ALICANTE,ALICANTE,"38.3452,-0.4815"
3011,ALICANTE,ALICANTE,"38.3452,-0.4815"
3012,ALICANTE,ALICANTE,"38.3452,-0.4815"
3013,ALICANTE,ALICANTE,"38.3452,-0.4815"
3014,ALICANTE,ALICANTE,"38.3452,-0.4815"
3015,ALICANTE,ALICANTE,"38.3466,-0.4819"
3016,ALICANTE,ALICANTE,"38.3597,-0.4517"
3100,ALICANTE,ALICANTE,"38.541666667,-0.466666667"
3110,ALICANTE,ALICANTE,"38.54592,-0.45996"
3112,ALICANTE,ALICANTE,"38.391666667,-0.475"
3130,ALBACETE/LOS LLANOS,ALICANTE,"38.143466667,-0.7662"
3140,ALICANTE,ALICANTE,"38.1,-0.65"
3160,ALBACETE/LOS LLANOS,ALICANTE,"38.101866667,-0.7667"
3169,ALBACETE/LOS LLANOS,MURCIA,"38.113325,-0.8"
3170,ALBACETE/LOS LLANOS,ALICANTE,"38.120366667,-0.679633333"
3186,ALBACETE/LOS LLANOS,ALICANTE,"38.0417,-0.7333"
3187,ALBACETE/LOS LLANOS,MURCIA,"38.0185,-0.748133333"
3189,ALBACETE/LOS LLANOS,MURCIA,"38.108333333,-0.825"
3190,ALBACETE/LOS LLANOS,MURCIA,"37.8667,-0.7833"
3191,ALBACETE/LOS LLANOS,MURCIA,"37.8667,-0.75"
3193,ALBACETE/LOS LLANOS,MURCIA,"37.9833,-0.7833"
3195,ALICANTE,ALICANTE,"38.273,-0.5397"
3201,ALBACETE/LOS LLANOS,ALICANTE,"38.2622,-0.7011"
3202,ALBACETE/LOS LLANOS,ALICANTE,"38.2622,-0.7011"
3203,ALBACETE/LOS LLANOS,ALICANTE,"38.2611,-0.70405"
3204,ALBACETE/LOS LLANOS,ALICANTE,"38.2622,-0.7011"
3205,ALBACETE/LOS LLANOS,ALICANTE,"38.2622,-0.7011"
3206,ALBACETE/LOS LLANOS,ALICANTE,"38.2691,-0.7135"
3300,ALBACETE/LOS LLANOS,MURCIA,"38.0833,-0.95"
3311,ALBACETE/LOS LLANOS,MURCIA,"38.0833,-1.0"
3320,ALICANTE,ALICANTE,"38.2931,-0.5882"
