PCTD,COD_POST,Comercializadora,comer
03A,15320,GNS,33
03A,15320,SUR,52
03A,15403,GNS,33
04B.1,15185,GNS,33
04B.1,15185,SUR,52
04B.1,15186,GNS,33
04B.1,15187,GNS,33
10,8015,GNS,33
10,43761,GNS,33
10,43761,SUR,52
10,43830,GNS,33
10,43830,SUR,52
10,43839,GNS,33
10,43839,SUR,52
10,43880,GNS,33
10,43883,GNS,33
10,43883,SUR,52
10,43884,GNS,33
10,43884,SUR,52
10,43893,GNS,33
10,43893,SUR,52
15,43746,GNS,33
15,43746,SUR,52
15.02,33518,GNS,33
15.02,43500,GNS,33
15.02,43500,SUR,52
15.02,43517,SUR,52
15.02,43520,GNS,33
15.02,43520,SUR,52
15.02,43529,GNS,33
15.02,43529,SUR,52
15.02,43530,GNS,33
15.02,43530,SUR,52
15.02,43540,GNS,33
15.02,43540,SUR,52
15.02,43550,GNS,33
15.02,43550,SUR,52
15.02,43569,GNS,33
15.02,43569,SUR,52
15.02,43590,GNS,33
15.02,43590,SUR,52
15.02,43870,GNS,33
15.02,43870,SUR,52
15.02,43896,GNS,33
15.02,43896,SUR,52
15.02,43897,GNS,33
15.02,43897,SUR,52
15.02,46540,SUR,52
15.04,12170,GNS,33
15.04,12170,SUR,52
15.04,12320,GNS,33
15.04,12320,SUR,52
15.04,12330,GNS,33
15.04,12340,GNS,33
15.04,12340,SUR,52
15.04,12500,GNS,33
15.04,12500,SUR,52
15.04,12580,GNS,33
15.04,12580,SUR,52
15.04,12589,GNS,33
15.04,12589,SUR,52
15.04,12598,GNS,33
15.04,12598,SUR,52
15.07,8016,SUR,52
15.07,12003,GNS,33
15.07,12180,GNS,33
15.07,12180,SUR,52
15.07,12192,GNS,33
15.07,12192,SUR,52
15.07,12194,GNS,33
15.07,12194,SUR,52
15.07,12594,GNS,33
15.07,12594,SUR,52
15.07,12595,GNS,33
15.07,12595,SUR,52
15.07,28041,GNS,33
15.09,12001,GNS,33
15.09,12001,SUR,52
15.09,12002,GNS,33
15.09,12002,SUR,52
15.09,12003,GNS,33
15.09,12003,SUR,52
15.09,12004,GNS,33
15.09,12004,SUR,52
15.09,12005,GNS,33
15.09,12005,SUR,52
15.09,12006,GNS,33
15.09,12006,SUR,52
15.09,12100,GNS,33
15.09,12100,SUR,52
15.09,12110,GNS,33
15.09,12110,SUR,52
15.09,12130,GNS,33
15.09,12130,SUR,52
15.09,12190,GNS,33
15.09,12190,SUR,52
15.09,12200,GNS,33
15.09,12200,SUR,52
15.09,12410,GNS,33
15.09,12410,SUR,52
15.09,12480,GNS,33
15.09,12500,GNS,33
15.09,12530,GNS,33
15.09,12530,SUR,52
15.09,12539,GNS,33
15.09,12539,SUR,52
15.09,12540,GNS,33
15.09,12540,SUR,52
15.09,12549,GNS,33
15.09,12549,SUR,52
15.09,12550,GNS,33
15.09,12550,SUR,52
15.09,12560,GNS,33
15.09,12560,SUR,52
15.09,12590,GNS,33
15.09,12590,SUR,52
15.09,12591,GNS,33
15.09,12591,SUR,52
15.09,12596,GNS,33
15.09X,12520,GNS,33
15.09X,12520,SUR,52
15.09X,12526,GNS,33
15.09X,12526,SUR,52
15.09X,12592,GNS,33
15.09X,12592,SUR,52
15.09X,12593,GNS,33
15.09X,12593,SUR,52
15.09X.3,12600,GNS,33
15.09X.3,12600,SUR,52
15.10.01,12400,GNS,33
15.10.01,12400,SUR,52
15.10.01,12412,GNS,33
15.10.01,12412,SUR,52
15.10.01,12480,GNS,33
15.10.01,12480,SUR,52
15.10.01,27700,SUR,52
15.10.01,46148,GNS,33
15.10.01,46148,SUR,52
15.10.01,46149,GNS,33
15.10.01,46149,SUR,52
15.10.01,46501,GNS,33
15.10.01,46501,SUR,52
15.10.01,46590,GNS,33
15.10.01,46590,SUR,52
15.10.01,46591,GNS,33
15.10.01,46591,SUR,52
15.10.01,46593,GNS,33
15.10.01,46594,GNS,33
15.10.01,46594,SUR,52
15.10.01,46595,GNS,33
15.10.01,46595,SUR,52
15.11-01,46500,GNS,33
15.11-01,46500,SUR,52
15.11-01,46520,GNS,33
15.11-01,46520,SUR,52
15.11-01,46529,GNS,33
15.11-01,46529,SUR,52
15.11-01,46530,GNS,33
15.11-01,46920,GNS,33
15.14,28031,SUR,52
15.14,36450,SUR,52
15.14,45450,SUR,52
15.14,46001,GNS,33
15.14,46001,SUR,52
15.14,46002,GNS,33
15.14,46002,SUR,52
15.14,46003,GNS,33
15.14,46003,SUR,52
15.14,46004,GNS,33
15.14,46004,SUR,52
15.14,46005,GNS,33
15.14,46005,SUR,52
15.14,46006,GNS,33
15.14,46006,SUR,52
15.14,46007,GNS,33
15.14,46007,SUR,52
15.14,46008,GNS,33
15.14,46008,SUR,52
15.14,46009,GNS,33
15.14,46009,SUR,52
15.14,46010,GNS,33
15.14,46010,SUR,52
15.14,46011,GNS,33
15.14,46011,SUR,52
15.14,46012,GNS,33
15.14,46012,SUR,52
15.14,46013,GNS,33
15.14,46013,SUR,52
15.14,46014,GNS,33
15.14,46014,SUR,52
15.14,46015,GNS,33
15.14,46015,SUR,52
15.14,46016,GNS,33
15.14,46016,SUR,52
15.14,46017,GNS,33
15.14,46017,SUR,52
15.14,46018,GNS,33
15.14,46018,SUR,52
15.14,46019,GNS,33
15.14,46019,SUR,52
15.14,46020,GNS,33
15.14,46020,SUR,52
15.14,46021,GNS,33
15.14,46021,SUR,52
15.14,46022,GNS,33
15.14,46022,SUR,52
15.14,46023,GNS,33
15.14,46023,SUR,52
15.14,46024,GNS,33
15.14,46024,SUR,52
15.14,46025,GNS,33
15.14,46025,SUR,52
15.14,46026,GNS,33
15.14,46026,SUR,52
15.14,46035,GNS,33
15.14,46035,SUR,52
15.14,46100,GNS,33
15.14,46100,SUR,52
15.14,46110,GNS,33
15.14,46110,SUR,52
15.14,46111,GNS,33
15.14,46111,SUR,52
15.14,46112,GNS,33
15.14,46112,SUR,52
15.14,46113,GNS,33
15.14,46113,SUR,52
15.14,46114,GNS,33
15.14,46114,SUR,52
15.14,46115,GNS,33
15.14,46115,SUR,52
15.14,46116,GNS,33
15.14,46116,SUR,52
15.14,46119,GNS,33
15.14,46119,SUR,52
15.14,46120,GNS,33
15.14,46120,SUR,52
15.14,46130,GNS,33
15.14,46130,SUR,52
15.14,46131,GNS,33
15.14,46131,SUR,52
15.14,46132,GNS,33
15.14,46132,SUR,52
15.14,46133,GNS,33
15.14,46133,SUR,52
15.14,46134,GNS,33
15.14,46134,SUR,52
15.14,46135,GNS,33
15.14,46135,SUR,52
15.14,46136,GNS,33
15.14,46136,SUR,52
15.14,46137,GNS,33
15.14,46137,SUR,52
15.14,46138,GNS,33
15.14,46138,SUR,52
15.14,46139,GNS,33
15.14,46139,SUR,52
15.14,46160,GNS,33
15.14,46160,SUR,52
15.14,46163,GNS,33
15.14,46163,SUR,52
15.14,46170,GNS,33
15.14,46170,SUR,52
15.14,46171,GNS,33
15.14,46171,SUR,52
15.14,46179,GNS,33
15.14,46180,GNS,33
15.14,46180,SUR,52
15.14,46181,GNS,33
15.14,46181,SUR,52
15.14,46182,GNS,33
15.14,46182,SUR,52
15.14,46183,GNS,33
15.14,46183,SUR,52
15.14,46184,GNS,33
15.14,46184,SUR,52
15.14,46185,GNS,33
15.14,46185,SUR,52
15.14,46190,GNS,33
15.14,46190,SUR,52
15.14,46191,GNS,33
15.14,46191,SUR,52
15.14,46200,GNS,33
15.14,46200,SUR,52
15.14,46210,GNS,33
15.14,46210,SUR,52
15.14,46220,GNS,33
15.14,46220,SUR,52
15.14,46229,GNS,33
15.14,46229,SUR,52
15.14,46270,SUR,52
15.14,46290,GNS,33
15.14,46290,SUR,52
15.14,46340,GNS,33
15.14,46360,GNS,33
15.14,46360,SUR,52
15.14,46370,GNS,33
15.14,46370,SUR,52
15.14,46380,GNS,33
15.14,46380,SUR,52
15.14,46388,GNS,33
15.14,46389,GNS,33
15.14,46389,SUR,52
15.14,46393,GNS,33
15.14,46393,SUR,52
15.14,46394,GNS,33
15.14,46394,SUR,52
15.14,46430,GNS,33
15.14,46430,SUR,52
15.14,46439,GNS,33
15.14,46439,SUR,52
15.14,46440,GNS,33
15.14,46440,SUR,52
15.14,46450,GNS,33
15.14,46450,SUR,52
15.14,46460,GNS,33
15.14,46460,SUR,52
15.14,46469,GNS,33
15.14,46469,SUR,52
15.14,46470,GNS,33
15.14,46470,SUR,52
15.14,46510,GNS,33
15.14,46510,SUR,52
15.14,46511,GNS,33
15.14,46511,SUR,52
15.14,46512,GNS,33
15.14,46512,SUR,52
15.14,46514,GNS,33
15.14,46514,SUR,52
15.14,46515,GNS,33
15.14,46515,SUR,52
15.14,46530,GNS,33
15.14,46530,SUR,52
15.14,46540,GNS,33
15.14,46540,SUR,52
15.14,46550,GNS,33
15.14,46550,SUR,52
15.14,46560,GNS,33
15.14,46560,SUR,52
15.14,46730,GNS,33
