PROVINCIA,AÑO_MES,Consumo_kWh
A CORUÑA,2021-10,10695536.73
A CORUÑA,2021-11,24993254.09
A CORUÑA,2021-12,31367381.77
A CORUÑA,2022-01,36703475.24
A CORUÑA,2022-02,35230446.48
A CORUÑA,2022-03,30703320.93
A CORUÑA,2022-04,23639756.83
A CORUÑA,2022-05,13636016.37
A CORUÑA,2022-06,11840613.24
A CORUÑA,2022-07,11470514.83
A CORUÑA,2022-08,10189766.07
A CORUÑA,2022-09,10841616.53
A CORUÑA,2022-10,10353336.61
A CORUÑA,2022-11,21440850.26
A CORUÑA,2022-12,33324941.94
A CORUÑA,2023-01,44145050.59
A CORUÑA,2023-02,40515270.92
A CORUÑA,2023-03,28284050.69
A CORUÑA,2023-04,15913226.58
A CORUÑA,2023-05,14130608.14
A CORUÑA,2023-06,11973146.07
A CORUÑA,2023-07,10036398.4
A CORUÑA,2023-08,8526938.29
A CORUÑA,2023-09,9343955.27
A CORUÑA,2023-10,10417096.25
A CORUÑA,2023-11,23172532.84
A CORUÑA,2023-12,37200378.79
A CORUÑA,2024-01,35402660.37
A CORUÑA,2024-02,26749411.58
A CORUÑA,2024-03,24503109.18
A CORUÑA,2024-04,16673876.0
A CORUÑA,2024-05,8850584.12
A CORUÑA,2024-06,1461500.79
ALBACETE,2021-10,5417353.68
ALBACETE,2021-11,22150040.55
ALBACETE,2021-12,29610184.12
ALBACETE,2022-01,37316104.43
ALBACETE,2022-02,31542392.1
ALBACETE,2022-03,28916684.42
ALBACETE,2022-04,21210245.74
ALBACETE,2022-05,7906041.55
ALBACETE,2022-06,4496496.76
ALBACETE,2022-07,3600679.61
ALBACETE,2022-08,2801258.88
ALBACETE,2022-09,3352530.49
ALBACETE,2022-10,4487526.69
ALBACETE,2022-11,15000504.72
ALBACETE,2022-12,29203441.56
ALBACETE,2023-01,41927248.51
ALBACETE,2023-02,37637204.5
ALBACETE,2023-03,20560867.7
ALBACETE,2023-04,7787780.29
ALBACETE,2023-05,5174398.52
ALBACETE,2023-06,3563538.49
ALBACETE,2023-07,2361977.67
ALBACETE,2023-08,1931895.88
ALBACETE,2023-09,2706806.05
ALBACETE,2023-10,5055155.09
ALBACETE,2023-11,15928411.22
ALBACETE,2023-12,30898355.88
ALBACETE,2024-01,29477241.9
ALBACETE,2024-02,20267023.43
ALBACETE,2024-03,15453039.93
ALBACETE,2024-04,7728869.33
ALBACETE,2024-05,3727194.57
ALBACETE,2024-06,623066.55
ALICANTE,2021-10,7501362.85
ALICANTE,2021-11,20556208.08
ALICANTE,2021-12,24877012.29
ALICANTE,2022-01,32910631.38
ALICANTE,2022-02,30006552.02
ALICANTE,2022-03,30107669.12
ALICANTE,2022-04,22432139.07
ALICANTE,2022-05,11606773.58
ALICANTE,2022-06,8832091.54
ALICANTE,2022-07,8185499.87
ALICANTE,2022-08,6861131.56
ALICANTE,2022-09,7257999.33
ALICANTE,2022-10,7335475.22
ALICANTE,2022-11,15145960.25
ALICANTE,2022-12,24162727.13
ALICANTE,2023-01,35365263.89
ALICANTE,2023-02,33840244.18
ALICANTE,2023-03,21841649.69
ALICANTE,2023-04,11534020.31
ALICANTE,2023-05,10467071.84
ALICANTE,2023-06,8371293.92
ALICANTE,2023-07,6671952.0
ALICANTE,2023-08,5431791.12
ALICANTE,2023-09,5800001.31
ALICANTE,2023-10,6029995.53
ALICANTE,2023-11,12392493.84
ALICANTE,2023-12,23114498.96
ALICANTE,2024-01,25954733.33
ALICANTE,2024-02,20031948.33
ALICANTE,2024-03,16849580.71
ALICANTE,2024-04,10329555.04
ALICANTE,2024-05,5532771.6
ALICANTE,2024-06,958557.16
ALMERIA,2021-10,33115.83
ALMERIA,2021-11,157146.27
ALMERIA,2021-12,196196.53
ALMERIA,2022-01,269266.43
ALMERIA,2022-02,192339.68
ALMERIA,2022-03,169482.51
ALMERIA,2022-04,127692.31
ALMERIA,2022-05,53818.35
ALMERIA,2022-06,38698.28
ALMERIA,2022-07,31694.28
ALMERIA,2022-08,25812.81
ALMERIA,2022-09,35446.65
ALMERIA,2022-10,40842.23
ALMERIA,2022-11,97676.85
ALMERIA,2022-12,165982.83
ALMERIA,2023-01,297863.19
ALMERIA,2023-02,279272.8
ALMERIA,2023-03,171331.31
ALMERIA,2023-04,76594.95
ALMERIA,2023-05,54300.53
ALMERIA,2023-06,40199.39
ALMERIA,2023-07,33694.43
ALMERIA,2023-08,26202.14
ALMERIA,2023-09,34088.44
ALMERIA,2023-10,43639.49
ALMERIA,2023-11,108512.65
ALMERIA,2023-12,206207.19
ALMERIA,2024-01,239677.98
ALMERIA,2024-02,164402.66
ALMERIA,2024-03,124944.94
ALMERIA,2024-04,73031.35
ALMERIA,2024-05,37086.53
ALMERIA,2024-06,10761.11
ARABA/ALAVA,2021-10,3241064.97
ARABA/ALAVA,2021-11,12219814.27
ARABA/ALAVA,2021-12,16945246.81
ARABA/ALAVA,2022-01,16484224.5
ARABA/ALAVA,2022-02,13092520.67
ARABA/ALAVA,2022-03,13639436.41
ARABA/ALAVA,2022-04,8734370.56
ARABA/ALAVA,2022-05,4012132.24
ARABA/ALAVA,2022-06,3169769.07
ARABA/ALAVA,2022-07,2239755.16
ARABA/ALAVA,2022-08,1946495.7
ARABA/ALAVA,2022-09,3041682.22
ARABA/ALAVA,2022-10,3984555.4
ARABA/ALAVA,2022-11,8057589.59
ARABA/ALAVA,2022-12,13771271.76
ARABA/ALAVA,2023-01,18907349.46
ARABA/ALAVA,2023-02,16833034.04
ARABA/ALAVA,2023-03,10512253.5
ARABA/ALAVA,2023-04,5073034.35
ARABA/ALAVA,2023-05,3803917.61
ARABA/ALAVA,2023-06,2613682.96
ARABA/ALAVA,2023-07,2014714.12
ARABA/ALAVA,2023-08,1636202.57
ARABA/ALAVA,2023-09,1862202.54
ARABA/ALAVA,2023-10,2483548.68
ARABA/ALAVA,2023-11,7164306.25
ARABA/ALAVA,2023-12,13586753.85
ARABA/ALAVA,2024-01,14112583.43
ARABA/ALAVA,2024-02,10488661.44
ARABA/ALAVA,2024-03,8871258.17
ARABA/ALAVA,2024-04,5339287.07
ARABA/ALAVA,2024-05,2718403.57
ARABA/ALAVA,2024-06,387317.04
ASTURIAS,2021-10,1295598.85
ASTURIAS,2021-11,4694538.97
ASTURIAS,2021-12,5516892.49
ASTURIAS,2022-01,7397397.28
ASTURIAS,2022-02,5208304.92
ASTURIAS,2022-03,5261389.75
ASTURIAS,2022-04,3672627.24
ASTURIAS,2022-05,1904132.19
ASTURIAS,2022-06,1533055.66
ASTURIAS,2022-07,1397060.89
ASTURIAS,2022-08,1167872.12
ASTURIAS,2022-09,1482791.87
ASTURIAS,2022-10,1868246.28
ASTURIAS,2022-11,3509154.26
ASTURIAS,2022-12,6050669.55
ASTURIAS,2023-01,8486556.27
ASTURIAS,2023-02,7722713.08
ASTURIAS,2023-03,4971898.98
ASTURIAS,2023-04,2474359.42
ASTURIAS,2023-05,2045665.74
ASTURIAS,2023-06,1660328.16
ASTURIAS,2023-07,1341707.71
ASTURIAS,2023-08,1136182.26
ASTURIAS,2023-09,1332058.32
ASTURIAS,2023-10,1734673.97
ASTURIAS,2023-11,4250959.0
ASTURIAS,2023-12,7498745.0
ASTURIAS,2024-01,7332395.44
ASTURIAS,2024-02,5278466.89
ASTURIAS,2024-03,4465032.07
ASTURIAS,2024-04,2905846.58
ASTURIAS,2024-05,1637062.47
ASTURIAS,2024-06,311114.87
AVILA,2021-10,2110305.92
AVILA,2021-11,8312932.02
AVILA,2021-12,11495087.6
AVILA,2022-01,13638525.57
AVILA,2022-02,11295594.96
AVILA,2022-03,9442989.87
AVILA,2022-04,6524896.36
AVILA,2022-05,2772103.93
AVILA,2022-06,1807719.86
