PROVINCIA,AÑO_MES,Consumo_kWh,%_Consumo
A CORUÑA,2021-10,10695536.73,1.84
A CORUÑA,2021-11,24993254.09,1.38
A CORUÑA,2021-12,31367381.77,1.37
A CORUÑA,2022-01,36703475.24,1.27
A CORUÑA,2022-02,35230446.48,1.5
A CORUÑA,2022-03,30703320.93,1.45
A CORUÑA,2022-04,23639756.83,1.58
A CORUÑA,2022-05,13636016.37,1.92
A CORUÑA,2022-06,11840613.24,2.24
A CORUÑA,2022-07,11470514.83,2.48
A CORUÑA,2022-08,10189766.07,2.56
A CORUÑA,2022-09,10841616.53,2.37
A CORUÑA,2022-10,10353336.61,2.05
A CORUÑA,2022-11,21440850.26,1.62
A CORUÑA,2022-12,33324941.94,1.47
A CORUÑA,2023-01,44145050.59,1.43
A CORUÑA,2023-02,40515270.92,1.48
A CORUÑA,2023-03,28284050.69,1.66
A CORUÑA,2023-04,15913226.58,1.87
A CORUÑA,2023-05,14130608.14,2.08
A CORUÑA,2023-06,11973146.07,2.24
A CORUÑA,2023-07,10036398.4,2.38
A CORUÑA,2023-08,8526938.29,2.47
A CORUÑA,2023-09,9343955.27,2.38
A CORUÑA,2023-10,10417096.25,2.06
A CORUÑA,2023-11,23172532.84,1.79
A CORUÑA,2023-12,37200378.79,1.6
A CORUÑA,2024-01,35402660.37,1.51
A CORUÑA,2024-02,26749411.58,1.55
A CORUÑA,2024-03,24503109.18,1.73
A CORUÑA,2024-04,16673876.0,1.94
A CORUÑA,2024-05,8850584.12,1.9
A CORUÑA,2024-06,1461500.79,1.95
ALBACETE,2021-10,5417353.68,0.93
ALBACETE,2021-11,22150040.55,1.23
ALBACETE,2021-12,29610184.12,1.29
ALBACETE,2022-01,37316104.43,1.29
ALBACETE,2022-02,31542392.1,1.35
ALBACETE,2022-03,28916684.42,1.36
ALBACETE,2022-04,21210245.74,1.41
ALBACETE,2022-05,7906041.55,1.11
ALBACETE,2022-06,4496496.76,0.85
ALBACETE,2022-07,3600679.61,0.78
ALBACETE,2022-08,2801258.88,0.7
ALBACETE,2022-09,3352530.49,0.73
ALBACETE,2022-10,4487526.69,0.89
ALBACETE,2022-11,15000504.72,1.13
ALBACETE,2022-12,29203441.56,1.29
ALBACETE,2023-01,41927248.51,1.36
ALBACETE,2023-02,37637204.5,1.37
ALBACETE,2023-03,20560867.7,1.21
ALBACETE,2023-04,7787780.29,0.92
ALBACETE,2023-05,5174398.52,0.76
ALBACETE,2023-06,3563538.49,0.67
ALBACETE,2023-07,2361977.67,0.56
ALBACETE,2023-08,1931895.88,0.56
ALBACETE,2023-09,2706806.05,0.69
ALBACETE,2023-10,5055155.09,1.0
ALBACETE,2023-11,15928411.22,1.23
ALBACETE,2023-12,30898355.88,1.33
ALBACETE,2024-01,29477241.9,1.25
ALBACETE,2024-02,20267023.43,1.17
ALBACETE,2024-03,15453039.93,1.09
ALBACETE,2024-04,7728869.33,0.9
ALBACETE,2024-05,3727194.57,0.8
ALBACETE,2024-06,623066.55,0.83
ALICANTE,2021-10,7501362.85,1.29
ALICANTE,2021-11,20556208.08,1.14
ALICANTE,2021-12,24877012.29,1.09
ALICANTE,2022-01,32910631.38,1.13
ALICANTE,2022-02,30006552.02,1.28
ALICANTE,2022-03,30107669.12,1.42
ALICANTE,2022-04,22432139.07,1.5
ALICANTE,2022-05,11606773.58,1.64
ALICANTE,2022-06,8832091.54,1.67
ALICANTE,2022-07,8185499.87,1.77
ALICANTE,2022-08,6861131.56,1.72
ALICANTE,2022-09,7257999.33,1.59
ALICANTE,2022-10,7335475.22,1.45
ALICANTE,2022-11,15145960.25,1.14
ALICANTE,2022-12,24162727.13,1.06
ALICANTE,2023-01,35365263.89,1.15
ALICANTE,2023-02,33840244.18,1.24
ALICANTE,2023-03,21841649.69,1.28
ALICANTE,2023-04,11534020.31,1.36
ALICANTE,2023-05,10467071.84,1.54
ALICANTE,2023-06,8371293.92,1.57
ALICANTE,2023-07,6671952.0,1.58
ALICANTE,2023-08,5431791.12,1.58
ALICANTE,2023-09,5800001.31,1.48
ALICANTE,2023-10,6029995.53,1.19
ALICANTE,2023-11,12392493.84,0.96
ALICANTE,2023-12,23114498.96,0.99
ALICANTE,2024-01,25954733.33,1.1
ALICANTE,2024-02,20031948.33,1.16
