codigo_postal,latitud,longitud
52080,35.3167,-2.95
52071,35.3167,-2.95
52070,35.3167,-2.95
52006,35.3167,-2.95
52005,35.3167,-2.95
52004,35.3167,-2.95
52003,35.3167,-2.95
52002,35.3167,-2.95
52001,35.3167,-2.95
52000,35.3167,-2.95
51080,35.8903,-5.3075
51071,35.8903,-5.3075
51070,35.8903,-5.3075
51005,35.8903,-5.3075
51004,35.8903,-5.3075
51003,35.8903,-5.3075
51002,35.8903,-5.3075
51001,35.8903,-5.3075
50850,41.7958,-0.8
50840,41.8333,-0.7667
50830,41.7667,-0.8167
50820,41.7167,-0.8333
50810,41.7958,-0.8
50800,41.8667,-0.7833
50795,41.25,0.35
50794,41.2,0.25
50793,41.1833,0.1667
50792,41.2667,-0.1167
50791,41.2367,0.0667
50790,41.2833,-0.3167
50786,41.4,-0.45
50785,41.3667,-0.4333
50784,41.3333,-0.4167
50783,41.3333,-0.3833
50782,41.3333,-0.3667
50781,41.3333,-0.35
50780,41.3167,-0.35
50770,41.4167,-0.4833
50760,41.3667,-0.4333
50750,41.4833,-0.5333
50740,41.5167,-0.6333
50730,41.5667,-0.7333
50720,41.3325,-0.2693
50710,41.1333,0.15
50709,41.2333,-0.0333
50700,41.2333,-0.0333
50696,42.4,-1.2917
50695,42.275,-1.1417
50694,42.0204,-1.163
50693,41.75,-1.0667
50692,41.741666667,-1.0667
50691,41.8167,-1.1833
50690,41.7833,-1.2167
50689,42.5667,-1.1667
50688,42.4667,-0.9333
50687,42.48335,-1.03335
50686,42.5167,-1.15
50685,42.54582,-1.02916
50684,42.6667,-1
50683,42.605566667,-0.944433333
50682,42.6167,-1.083333333
50680,42.5,-1.2167
50679,42.3,-1.25
50678,42.3667,-1.1333
50670,42.2833,-1.2667
50669,42.3167,-0.65
50668,41.8667,-1.25
50660,41.9167,-1.25
50650,41.8667,-1.3167
50641,41.85,-1.25
50640,41.8333,-1.2333
50639,41.7667,-1.1667
50638,41.8,-1.2
50637,41.8333,-1.1667
50630,41.7667,-1.1167
50629,41.7333,-1.0333
50620,41.7167,-1.0333
50619,42.358328571,-0.841671429
50617,42.2039,-0.8657
50616,42.1,-0.79165
50615,42.175,-0.85835
50614,42.15,-0.75
50612,42.0222,-0.933333333
50611,42.1167,-0.95
50610,42.2167,-0.9333
50600,42.1333,-1.1333
50596,42.425,-1.25
50592,42.2111,-1.4
50591,41.7833,-1.7
50590,42.2111,-1.4
50584,41.8333,-1.7833
50583,41.8333,-1.7167
50582,41.8167,-1.75
50581,41.8333,-1.7667
50580,41.8167,-1.6833
50570,41.8167,-1.5167
50562,41.8833,-1.45
50561,41.85,-1.4333
50560,41.85,-1.45
50550,41.9,-1.4167
50549,41.8333,-1.525
50548,41.8833,-1.6
50547,41.75835,-1.51665
50546,41.783333333,-1.633333333
50540,41.8333,-1.5333
50530,41.9333,-1.3833
50529,41.7917,-1.4667
50520,41.8333,-1.45
50514,41.9167,-1.7333
50513,41.89332,-1.72664
50512,41.9,-1.7667
50511,41.95,-1.6667
50510,41.95,-1.7
50500,41.9,-1.7333
50491,41.144433333,-1.233333333
50490,41.18335,-1.2833
50482,41.2167,-1.15
50481,41.25,-1.15
50480,41.2833,-1.2
50470,41.2833,-1.2667
50461,41.4333,-1.25
50460,41.4,-1.1833
50450,41.4667,-1.0833
50441,41.5,-1.0333
50440,41.4833,-1.0667
50430,41.5333,-1
50420,41.55,-0.95
50411,41.5833,-0.9167
50410,41.5833,-0.9167
50409,41.3667,-1.3
50408,41.35,-1.2667
50400,41.3333,-1.2167
50391,41.2,-1.5
50390,41.2333,-1.5333
50376,41.1,-1.6333
50375,41.1333,-1.7
50374,41.05,-1.6389
50373,41,-1.516675
50372,41.05,-1.45
50371,41.0667,-1.4167
50370,41.0833,-1.3833
50369,41.0889,-1.3222
50368,41.19585,-1.291675
50367,41.18335,-1.39165
50366,41.129175,-1.470825
50360,41.1167,-1.4167
50348,41.1667,-1.55
50347,41.0167,-1.6
50346,41.1833,-1.6333
50345,41.2,-1.6167
50344,41.25,-1.5833
50343,41.2833,-1.6
50342,41.3167,-1.6333
50341,41.2333,-1.65
50340,41.2833,-1.6167
50336,41.3833,-1.5833
50335,41.3083,-1.5111
50334,41.35,-1.5333
50333,41.3083,-1.5111
50332,41.3083,-1.5111
50331,41.288866667,-1.4889
50330,41.25,-1.4833
50326,41.2833,-1.3667
50325,41.3333,-1.4
50324,41.3333,-1.45
50323,41.3833,-1.4667
50322,41.4,-1.5167
50320,41.4167,-1.5
50316,41.5611,-1.9389
50315,41.5667,-1.8667
50314,41.5333,-1.8333
50313,41.45,-1.7
50312,41.4333,-1.7333
50311,41.4167,-1.6833
50310,41.4667,-1.7833
50300,41.35,-1.6333
50299,41.425,-1.575
50298,41.7333,-1.1
50297,41.72918,-1.18332
50296,41.677766667,-1.2222
50295,41.6333,-1.29165
50294,41.561133333,-1.311133333
50293,41.3333,-1.7167
50292,41.3,-1.9667
50291,41.3,-2.1
50290,41.6,-1.2833
50280,41.5333,-1.35
50270,41.5167,-1.4
50269,41.544425,-1.5278
50268,41.6583,-1.7
50267,41.55,-1.5333
50266,41.5167,-1.5
50260,41.4667,-1.4667
50259,41.6083,-1.8083
50258,41.6,-1.7
50257,41.55,-1.65
50250,41.5333,-1.6167
50249,41.4833,-1.6333
50248,41.4833,-1.6
50247,41.4917,-1.6
50246,41.5333,-1.6
50240,41.4667,-1.5667
50239,41.333325,-1.911125
50238,41.2167,-1.8917
50237,41.1833,-1.8833
50236,41.2167,-1.8333
50230,41.3,-1.9
50229,41.4167,-2.0667
50228,41.2167,-2.0333
50227,41.1667,-2
50220,41.3167,-2.05
50219,41.272233333,-1.716666667
50217,41.4667,-1.8667
50216,41.4333,-1.8333
50215,41.4,-1.8167
50214,41.1333,-1.8333
50213,41.141666667,-1.75
50212,41.2833,-1.8
50211,41.3167,-1.8
50210,41.2167,-1.7833
50200,41.3333,-1.7833
50197,41.6447,-0.972
50196,41.5833,-1.1167
50195,41.6447,-0.972
50194,41.6447,-0.972
50193,41.6447,-0.972
50192,41.6447,-0.972
50191,41.6447,-0.972
50190,41.6682,-0.939266667
50180,41.7167,-1
50178,41.55,-0.2
50177,41.5,-0.15
50176,41.5354,-0.4042
50175,41.525,-0.575
50174,41.6,-0.65
50173,41.6,-0.6833
50172,41.6167,-0.7
50171,41.5354,-0.4042
50170,41.3667,0.3
50164,41.6333,-0.4167
50163,41.6833,-0.5
50162,41.7167,-0.5417
50161,41.75,-0.6333
50160,41.8,-0.6167
50156,41.15,-1.0333
50155,41.3,-1.05
50154,41.3167,-1.0833
50153,41.35,-1.0333
50152,41.4333,-1.0833
50151,41.1667,-1.15
50150,41.2,-1.0833
50144,41.1333,-0.8333
50143,41.125,-0.9417
50142,41.35,-0.95
50141,41.45,-0.9833
50140,41.25,-0.8667
50139,41.5,-0.85
50138,41.4333,-0.8833
50137,41.3833,-0.85
50136,41.25,-0.8
50135,41.475,-0.675
50134,41.2333,-0.8
50133,41.2833,-0.7833
50132,41.3333,-0.75
50131,41.2,-0.7
50130,41.3,-0.75
50120,41.71665,-0.95835
50110,41.4433,-0.8224
50109,41.4167,-1.3833
50108,41.3975,-1.3239
50100,41.4833,-1.3667
50090,41.6561,-0.8773
50080,41.6561,-0.8773
50071,41.6561,-0.8773
50070,41.6561,-0.8773
50059,41.6561,-0.8773
50058,41.6561,-0.8773
50057,41.6561,-0.8773
50020,41.6561,-0.8773
50018,41.6706,-0.8891
50017,41.6613,-0.8947
50016,41.6561,-0.8773
50015,41.668,-0.8737
50014,41.6561,-0.8773
50013,41.6561,-0.8773
50012,41.6498,-0.9199
50011,41.6561,-0.8773
50010,41.649,-0.8915
50009,41.6371,-0.9047
50008,41.6453,-0.8817
50007,41.6561,-0.8773
50006,41.6451,-0.8879
50005,41.6482,-0.8863
50004,41.6481,-0.8871
50003,41.653,-0.8832
50002,41.6561,-0.8773
50001,41.6502,-0.8789
49882,41.45,-5.45
49881,41.5,-5.5
49880,41.4833,-5.4833
49871,41.5833,-5.3667
49870,41.5833,-5.3333
49860,41.6,-5.3
49850,41.6333,-5.3667
49840,41.65,-5.3667
49836,41.5333,-5.3833
49835,41.6,-5.4333
49834,41.6333,-5.4167
49833,41.6333,-5.4667
49832,41.65,-5.4833
49831,41.6833,-5.45
49830,41.7167,-5.45
49820,41.3833,-5.4
49810,41.5333,-5.3
49800,41.5167,-5.4
49783,42.1167,-5.8
49782,42.0667,-5.7167
49781,42.09165,-5.7167
49780,42.1,-5.7333
49770,42.05,-5.7167
49760,41.925,-5.675
49751,41.5953,-5.7104
49750,41.5953,-5.7104
49743,41.7333,-5.7833
49742,41.7667,-5.7667
49741,41.7722,-5.7611
49740,41.8167,-5.7333
49731,41.6333,-5.7
49730,41.5667,-5.7333
49722,41.39165,-5.7917
49721,41.4333,-5.75
49720,41.4167,-5.75
49719,41.26665,-5.5917
49718,41.25,-5.8
49717,41.31665,-5.60835
49716,41.3167,-5.5833
49715,41.35,-5.5833
49714,41.3167,-5.6167
49710,41.3,-5.6229
49709,41.3333,-5.7833
49708,41.35835,-5.75835
49707,41.3333,-5.6667
49706,41.3167,-5.71665
49700,41.3361,-5.7333
49699,41.941675,-5.695825
49698,41.9,-5.77916
49697,41.947216667,-5.85
49696,42.1111,-5.866666667
49695,42.1,-5.85
49694,42.0333,-5.75
49693,42.072233333,-5.766666667
49692,42.1,-5.6333
49691,42.075,-5.6
49690,42.05,-5.6333
49680,42.025,-5.49165
49670,42,-5.5333
49660,41.975,-5.616666667
49650,41.9333,-5.55
49640,41.9,-5.4833
49639,41.858333333,-5.425
49638,41.9,-5.4
49630,41.8667,-5.4
49629,42.0667,-6.05
49628,42.05,-6.0667
49627,42.025,-6.04165
49626,41.979175,-5.987525
49625,41.9833,-5.9167
49624,41.987475,-5.870825
49623,42.0135,-5.9294
49622,42.03332,-5.85834
49621,42.044433333,-5.9389
49620,42,-5.7167
49619,42.116666667,-6.0417
49618,42.08855,-5.983325
49610,42.0667,-6.0167
49600,42,-5.6833
49594,41.977783333,-6.433333333
49593,41.9333,-6.5083
49592,41.81334,-6.23668
49591,41.822233333,-6.1611
49590,41.5833,-5.5
49583,42.1667,-6.9
49582,42.1167,-6.9667
49581,42.0833,-7
49580,42.075,-7
49574,42.038866667,-6.8611
49573,42.04165,-6.93335
49572,41.9778,-6.894425
49571,42,-6.9
49570,42.0333,-6.9
49564,41.9833,-6.2833
49563,41.9667,-6.3333
49562,41.9333,-6.2833
49561,41.9333,-6.35
49560,41.9,-6.3833
49559,41.75,-6.15835
49550,41.78335,-6.0667
49543,41.65835,-6.05
49542,41.70835,-6.125
49541,41.675,-6.09165
49540,41.766666667,-5.9833
