Diario,Fest_AnhoNuevo,Fest_Reyes,Fest_SatSemSantaLMX,Fest_JuevesSanto,Fest_ViernesSanto,Fest_Trabajo,Fest_VirgenAgosto,Fest_Hispanidad,Fest_TodosLosSantos,Fest_Constitucion,Fest_Inmaculada,Fest_Nochebuena,Fest_Navidad,Fest_Findeanho,Fest_ComMadrid,Fest_SanJuan,Fest_Santiago,Fest_DiaCatalunya,Fest_Merce,Fest_SanIsidro
y2000m01d01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m01d02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m01d03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m01d04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m01d05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m01d06,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m01d07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m01d08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m01d09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m01d10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m01d11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m01d12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m01d13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m01d14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m01d15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m01d16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m01d17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m01d18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m01d19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m01d20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m01d21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m01d22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m01d23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m01d24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m01d25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m01d26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m01d27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m01d28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m01d29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m01d30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m01d31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m02d01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m02d02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m02d03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m02d04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m02d05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m02d06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m02d07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m02d08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m02d09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m02d10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m02d11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m02d12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m02d13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m02d14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m02d15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m02d16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m02d17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m02d18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m02d19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m02d20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m02d21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m02d22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m02d23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m02d24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m02d25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m02d26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m02d27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m02d28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
